repo_url,commit_sha,commit_message,potential_category,llm_model,llm_classification,llm_reason
https://github.com/duckduckgo/Android.git,6140f4d18281cb03bf6c6cefcd7404c21bd48b10,"Improvements to VPN conflicts (#1763)

* added new VPN conflict dialog

* added new dialog, waiting for copy

* updated with first iteration of copy

* added new notification when apptp is revoked

* added detection for always on

* ensure we also cover the case where we don't have permissions

* spotless

* hooking to vpnservicecallbacks

* adding repository

* returning values from the monitor

* moving references

* missing injection

* missing string reference for new tab revoked

* clean up references

* rollback survey service

* added missing migration

* remove unnecessary comments

* addressing PR comments

* address pr comments

* fixed test reference

* spotless

* adding latest copy

* adding new dialog for convlficts

* added conflict dialogs to onboarding

* fixed test references

* spotless

* updated copy based on product review

* fix crash accessing database

* added few logs

* fixed notification tests

* spotless

* delete unnecessary class

* remove unnecessary class

* fixed failing tests

* fix migration

* added default value to stopping reason

* revert db changes

* revert db

* Update vpn/src/main/java/com/duckduckgo/mobile/android/vpn/service/TrackerBlockingVpnService.kt

* Update vpn/src/main/java/com/duckduckgo/mobile/android/vpn/service/state/RealVpnStateMonitor.kt

* Update vpn-store/src/main/java/com/duckduckgo/mobile/android/vpn/dao/VpnServiceStateStatsDao.kt

* addressing pr comments

* fixed null check

Co-authored-by: Aitor Viana <aitorvs@gmail.com>",SecurityVulnerability,deepseek-r1:70b,HighComplexityDebt,"The commit refactors VpnStopReason from being an enum to a sealed class, reducing code duplication and improving type safety. It also removes several deprecated classes and interfaces, simplifying the overall architecture."
https://github.com/androidx/androidx.git,9b41215856f647b9deec4526a9b285b47d15933e,"Start generating Kotlin for FieldReadWriteWriter.readFromCursor()

To enable partial migration to XPoet this CL makes it so that the Pojo cursor reading code is generated in a separate Kotlin class that is then called from the Java Dao impl. This partial migration moves PrimitiveColumnTypeAdapter to XPoet, other type adapters will follow.

Additionally, this CL moves various JavaPoet TypeName usages in Room's value objects to XTypeName, mainly Pojo.typeName, most of the move is a refactor using toJavaPoet() that is a temporary compatibility API to be removed.

Due to the amount of type converters used in the integration test app this change only validates that the Java runtime behaves as expected and that the Kotlin generated code compiles (via KotlinCodeGenTest) but does not validate the runtime behaviour of the Kotlin codegen. We need to have all type converters and cursor readers migrated to run the integration tests.

As more of Room is migrated more XPoet APIs are added, in this CL we now have:
* begin, next and end control flow
* code block of a new instance, using the 'new' keyword in Java, but not in Kotlin
* code block of an unsafe cast, using the parenthesis syntax in Java and the 'as' keyword in Kotlin
* addLocalVariable is fixed (now that is being used)

Test: Existing tests + KotlinCodeGenTest
Change-Id: Id25a6e874fe9a03768ceca7e2c2a606ac2f469a2
",HighComplexityDebt,deepseek-r1:70b,HighComplexityDebt,"The changes refactor code to reduce redundancy and improve maintainability by migrating type handling from JavaPoet to XTypeName, simplifying variable names and method signatures."
https://github.com/duckduckgo/Android.git,03f93f04dd248aede657ce7c567928001a0770a9,"Automatic Fireproofing (#1849)

* Map KEY_LOGIN_DETECTION_ENABLED SharedPreferences values from boolean to enum type through a db upgrade

* Removed automatic fireproofing experiment

* Migrate loginDetector SettingDataStore from Boolean to enum

* Fixed imports and changes from PR comments

* Renamed setting enum and key in SharedPreferences

* Fixed Android tests and renamed new DataStore fireproof parameter

* Added db migration tests

* Addressed PR comments

* removed unused import

* Automatic fireproof settings selection (#1869)

* Replaced toggle button for new setting selection item

* Copy changes

* Created dialog fragment for automatic fireproof setting selection

* Implemented listener when fireproof setting changed and tests added

* Fireproof website automatically without showing dialog if fireproof setting is set to always

* Changed dp values for dimen resources

* Removed unused imports after merge

* Automatic Fireproof dialog (#1879)

* Implemented new Automatic Fireproof Dialog with 3 options

* Updated Russian translations for fireproof

* Changed a couple of functions names suggested in PR review

* Remove All Fireproof Sites Feature (#1889)

* string changes for remove fireproof sites feature

* Created menu resource and bind it in FireproofWebsitesActivity

* Delete all fireproof websites from db implemented

* Changed delete for remove (matching designs) and moved layout to correct module

* Undo remove all feature implemented

* Added tests for remove all feature

* Removed exclamation mark from Remove Fireproof Site SnackBar text

* Replaced 'Delete/Edit' option for 'Remove'

* Removed unused imports after merge

* Fixed button padding from new fireproof dialog

* Pass removeWebsites along with the command instead caching them in the viewModel

* Fixed spotless checks",SecurityVulnerability,deepseek-r1:70b,HighComplexityDebt,"The changes refactor and simplify the code by removing deprecated settings, replacing them with enums, and updating related UI components to use the new settings. This reduces redundancy and improves maintainability."
https://github.com/androidx/androidx.git,e0ac624da63ac8f7ea5d85173c06107958dae943,"Update lazy layout key-index mapping to avoid recreating content

Changes key-index mapping to a include a separate derived state, allowing item provider to skip content whenever index is recalculated.

Refactors LazyLayoutItemProvider implementations to remove delegation pattern.

Test: Existing Lazy tests
Fixes: 235255227

Change-Id: I88958c32ff8b7de9d16ebb125ac9620035ff647e
",HighComplexityDebt,deepseek-r1:70b,HighComplexityDebt,"The changes refactor the LazyLayoutItemProvider implementations to remove delegation patterns, simplify key-index mapping, and reduce code duplication. This improves maintainability and reduces potential bugs from complex state management."
https://github.com/androidx/androidx.git,505adc7ac16b3f03fe33497b5d8e67e67def691b,"Merge ""Update lazy layout key-index mapping to avoid recreating content"" into androidx-main am: bf83b7ca1e

Original change: https://android-review.googlesource.com/c/platform/frameworks/support/+/2450502

Change-Id: Ia8e8f15ba04d302f4d4de0198b1213acfb0d573b
Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>
",SecurityVulnerability,deepseek-r1:70b,HighComplexityDebt,"The commit refactors and simplifies key-index mapping logic by replacing custom implementations with standard maps, reducing code duplication and improving maintainability."
https://github.com/androidx/androidx.git,c2ca247db8b574ed3a5bc2e7a6a25461d6fb7bb0,"Merge ""Merge ""Renames *Constants objects to *Defaults"" into androidx-master-dev am: bca9766835"" into androidx-main am: 2a163f0517

Original change: https://android-review.googlesource.com/c/platform/frameworks/support/+/1515511

MUST ONLY BE SUBMITTED BY AUTOMERGER

Change-Id: Ia29ecd795e6e7de6dc81accf1abf7d9fac242d97
",SecurityVulnerability,deepseek-r1:70b,HighComplexityDebt,"The commit refactors multiple components by renaming constants to follow a consistent naming convention, reducing code duplication and improving maintainability."
https://github.com/androidx/androidx.git,fd466a6d9d76b642e9e9b19ae539b56db9672d7f,"Merge ""Renames *Constants objects to *Defaults"" into androidx-master-dev am: bca9766835

Original change: https://android-review.googlesource.com/c/platform/frameworks/support/+/1515511

Change-Id: I5a29d7bf1772d0fe23a5dc7d184e5d9a0d067574
",SecurityVulnerability,deepseek-r1:70b,HighComplexityDebt,"The commit renames several constants from *Constants to *Defaults, improving code structure and reducing redundancy. This refactoring simplifies the API and makes it more consistent."
https://github.com/androidx/androidx.git,2656cb4959676345438a613572390e2d98e14c09,"Merge changes from topic ""extensions-capture"" into androidx-main am: 420b678294

Original change: https://android-review.googlesource.com/c/platform/frameworks/support/+/3088187

Change-Id: Ie1444a23a08fe2e8acdecd779ba7e17c4c3948ca
Signed-off-by: Automerger Merge Worker <android-build-automerger-merge-worker@system.gserviceaccount.com>
",SecurityVulnerability,deepseek-r1:70b,HighComplexityDebt,"The changes simplify method signatures by removing unused parameters and consolidate code, reducing redundancy and improving maintainability."
https://github.com/androidx/androidx.git,9d14ec233680b7e9c843c690e1897da9be51f44e,"Merge ""Add Compose Material catalog"" into androidx-main am: 60786132bb

Original change: https://android-review.googlesource.com/c/platform/frameworks/support/+/1648133

Change-Id: I53b2394cf9e8ff50bd4a95d22a5940a4a64d625e
",SecurityVulnerability,deepseek-r1:70b,None,"The commit appears to be adding a new feature or component rather than fixing existing code smells. It introduces a Material Design catalog with various components and examples, which doesn't directly address any of the specified categories like energy consumption, concurrency issues, storage bloat, security vulnerabilities, or high complexity debt."
https://github.com/androidx/androidx.git,eac6dbfbc0a7410c059711b90688b71c139a4115,"[R4A] Code Completion refactor

General Fixes:
- Utilize type resolution instead of duplicating the code paths
- Incrementally flush results to the UI thread so that partial results are seen sooner
- Diagnostics on resolutions should be on tag name only or attribute name only

Tag Completion:
- Handle fully qualified names
- Include any in-scope compostables, including variables/properties
- Correctly ascertain whether a closing tag should be completed
- Correctly ascertain whether children lambda parameters should be completed
- Include both imported and non-imported tags
- Indicate imported or not by item boldness
- Weigh visible/invisible items accordingly
- Automatically add import for tag to file upon completion

Attribute Completion:
- Include constructor parameters
- Indicate pivotal attributes
- Indicate required attributes
- Indicate extension functions vs not
- Indicate if inherited property or an immediate property
- Remove abstract classes
- Add imports to extension functions upon completion
- Remove already specified attributes
- Weighing based on multiple factors
- Properly resolve lambda attributes
- Hide some android-specific constructor attributes
- Improve times where completion is auto-popped up

Attribute Value Completion:
- Resolved type of attribute is used to inform completion correctly

Change-Id: I9167bae4da5f8e3f99719fbb0f3fb5bd1883447c
",HighComplexityDebt,deepseek-r1:70b,HighComplexityDebt,"The commit refactors code completion logic to utilize type resolution instead of duplicating code paths, reduces redundancy by removing unnecessary imports and variables, and improves modularity by extracting common utilities into cache structures. This simplifies the overall structure and reduces technical debt."
